#{"t_start": 1730358417.9092743, "env_id": "None"}
r,l,t
1143.375453,60,1.580256
891.104322,58,1.758099
1151.891672,57,1.938494
1109.170211,49,2.119859
1119.278095,70,2.331797
897.328403,61,2.531901
1233.700639,73,2.762065
1177.367906,52,2.925525
1041.072834,65,3.132575
1112.142314,61,3.330108
133.876486,67,3.558332
1105.915629,63,3.76208
36.770545,70,3.988886
-133.904224,68,4.212829
1211.276354,59,4.394592
1116.157064,82,4.647766
964.678111,55,4.833146
1275.199956,60,5.024701
1117.303494,43,5.168906
-41.454403,51,5.335201
39.283005,58,5.519491
914.786461,60,5.712758
899.798062,63,5.916223
-213.718506,69,6.141102
1054.497207,74,6.379968
50.478391,64,6.589369
1199.53357,57,6.777578
935.39966,79,7.022446
1138.808802,70,7.250734
1126.805976,61,7.44175
1179.630752,64,7.641696
1326.003175,69,7.861575
830.663969,69,8.083304
766.491005,71,8.310545
-257.798773,64,8.521426
1015.972143,51,8.690933
1103.081133,65,8.90088
55.356,57,9.087784
28.340443,42,9.23542
1260.355732,73,9.460163
760.712096,58,9.644636
1159.219828,56,9.832091
855.015613,71,10.055886
836.964922,50,10.221848
1231.974761,53,10.399863
1153.856542,59,10.587247
1107.917549,43,10.730769
121.597688,50,10.889235
197.465334,68,11.117203
1088.216518,50,11.276626
1033.474757,41,11.414394
1044.615046,45,11.563205
898.447936,66,11.779492
946.850061,69,11.991518
1011.891645,53,12.15675
1167.479867,56,12.335923
1160.728917,55,12.5093
1190.658979,58,12.684716
1259.550431,62,12.894749
-134.07824,69,13.112257
-122.126833,102,13.449756
-106.091794,102,13.784156
-141.65016,102,14.102081
-116.832168,102,14.4185
-109.784839,102,14.737545
-149.468373,102,15.058884
-114.259763,102,15.379092
-525.400937,102,15.711527
-115.531494,102,16.026788
-119.120657,102,16.345058
164.481939,70,34.087401
63.295007,64,34.289733
943.298019,56,34.468508
145.966382,54,34.641108
16.188216,72,34.866408
1021.268165,53,35.034675
132.691494,47,35.184901
953.849354,56,35.366888
-81.103968,65,35.571441
1322.639058,70,35.793413
